se_model_id,se_model_name,adaptation_type,immediate_ancestor,ancestor_rel_type_raw,max_lineage_length,base_model,se_task_id,se_task,se_activity_id,se_activity
Abel252/BriskFO_Coderv1,BriskFO_Coderv1,Adapter,deepseek-ai/deepseek-coder-1.3b-instruct,IS_ADAPTER_OF,2,deepseek-ai/deepseek-coder-1.3b-base,code generation,code generation,software implementation,software implementation
Abhijith71/Abhijith,Abhijith,Adapter,deepseek-ai/deepseek-coder-6.7b-instruct,IS_ADAPTER_OF,2,deepseek-ai/deepseek-coder-6.7b-base,code generation,code generation,software implementation,software implementation
Agnivarcas/Nanbeige4.1-3B-reasoning-finetuned,Nanbeige4.1-3B-reasoning-finetuned,Adapter,Nanbeige/Nanbeige4.1-3B,IS_ADAPTER_OF,2,Nanbeige/Nanbeige4-3B-Base,coding; code generation,coding; code generation,software implementation,software implementation
AlessandroW/Phi-3-mini-128k-instruct-gguf,Phi-3-mini-128k-instruct-gguf,Quantized,microsoft/Phi-3-mini-128k-instruct,IS_QUANTIZED_FROM,2,microsoft/Phi-3.5-vision-instruct,coding,coding,software implementation,software implementation
AlienKevin/swe-smith-rs-base-qwen2.5-coder-32b-instruct-teacher-glm-4.6,swe-smith-rs-base-qwen2.5-coder-32b-instruct-teacher-glm-4.6,Fine-tuned,Qwen/Qwen2.5-Coder-32B,IS_FINETUNED_FROM,2,Qwen/Qwen2.5-32B,coding; code generation,coding; code generation,software implementation,software implementation
AlphaExaAI/ExaMind,ExaMind,Fine-tuned,Qwen/Qwen2.5-Coder-7B,IS_FINETUNED_FROM,2,Qwen/Qwen2.5-7B,system design; code generation,system design; code generation,software design; software implementation,software design; software implementation
AlphaGaO/UIGEN-T3-4B-Preview-MAX-GPTQ,UIGEN-T3-4B-Preview-MAX-GPTQ,Quantized,Qwen/Qwen3-4B,IS_QUANTIZED_FROM,2,Qwen/Qwen3-4B-Base,code generation,code generation,software implementation,software implementation
AlphaGaO/UIGEN-X-8B-GPTQ,UIGEN-X-8B-GPTQ,Quantized,Qwen/Qwen3-8B,IS_QUANTIZED_FROM,2,Qwen/Qwen3-8B-Base,rapid prototyping; code generation,rapid prototyping; code generation,software design; software implementation,software design; software implementation
Andrefty/qwen3-4b-vuln-sft-research,qwen3-4b-vuln-sft-research,Fine-tuned,Qwen/Qwen3-4B,IS_FINETUNED_FROM,2,Qwen/Qwen3-4B-Base,vulnerability detection,vulnerability detection,software quality assurance,software quality assurance
AndrewAndrewsen/distilbert-secret-masker,distilbert-secret-masker,Quantized,distilbert/distilbert-base-uncased,IS_QUANTIZED_FROM,2,google-bert/bert-base-uncased,logging; debugging,logging; debugging,software maintenance,software maintenance
AndrewAndrewsen/longformer-secret-masker,longformer-secret-masker,Fine-tuned,allenai/longformer-base-4096,IS_FINETUNED_FROM,2,FacebookAI/roberta-base,logging,logging,software maintenance,software maintenance
Apel-sin/starchat2-15b-v0.1-exl2,starchat2-15b-v0.1-exl2,Fine-tuned,HuggingFaceH4/starchat2-15b-sft-v0.1,IS_FINETUNED_FROM,2,bigcode/starcoder2-15b,code completion,code completion,software implementation,software implementation
ArmurAI/L3_8B_Aptos_Smart_Contract_Analyser,L3_8B_Aptos_Smart_Contract_Analyser,Fine-tuned,Lewdiculous/L3-8B-Stheno-v3.2-GGUF-IQ-Imatrix,IS_FINETUNED_FROM,2,Sao10K/L3-8B-Stheno-v3.2,verification; vulnerability detection,verification; vulnerability detection,software quality assurance,software quality assurance
ArmurAI/L3_8B_Solana_Smart_Contract_Analyser,L3_8B_Solana_Smart_Contract_Analyser,Fine-tuned,Lewdiculous/L3-8B-Stheno-v3.2-GGUF-IQ-Imatrix,IS_FINETUNED_FROM,2,Sao10K/L3-8B-Stheno-v3.2,verification; vulnerability detection,verification; vulnerability detection,software quality assurance,software quality assurance
ArthurGprog/Codestral-22B-v0.1-FIM-Fix-GPTQ,Codestral-22B-v0.1-FIM-Fix-GPTQ,Quantized,legraphista/Codestral-22B-v0.1-hf-FIM-fix,IS_QUANTIZED_FROM,2,mistralai/Codestral-22B-v0.1,code completion,code completion,software implementation,software implementation
AventIQ-AI/Code-Generation-Multi-Model,Code-Generation-Multi-Model,Fine-tuned,Salesforce/codegen-350M-multi,IS_FINETUNED_FROM,2,Salesforce/codegen-350M-nl,code generation,code generation,software implementation,software implementation
BCCard/Qwen2.5-Coder-14B-FP8-Dynamic,Qwen2.5-Coder-14B-FP8-Dynamic,Quantized,Qwen/Qwen2.5-Coder-14B,IS_QUANTIZED_FROM,2,Qwen/Qwen2.5-14B,code generation,code generation,software implementation,software implementation
BCCard/Qwen2.5-Coder-14B-Instruct-FP8-Dynamic,Qwen2.5-Coder-14B-Instruct-FP8-Dynamic,Quantized,Qwen/Qwen2.5-14B-Instruct,IS_QUANTIZED_FROM,2,Qwen/Qwen2.5-14B,code generation,code generation,software implementation,software implementation
BCCard/Qwen2.5-Coder-7B-Instruct-FP8-Dynamic,Qwen2.5-Coder-7B-Instruct-FP8-Dynamic,Quantized,Qwen/Qwen2.5-7B-Instruct,IS_QUANTIZED_FROM,2,Qwen/Qwen2.5-7B,code generation,code generation,software implementation,software implementation
Banana304343/quantum-vqe-mistral-gguf,quantum-vqe-mistral-gguf,Merge,mistralai/Mistral-7B-v0.3,IS_MERGE_OF,2,mistral-community/Mistral-7B-v0.2,code generation,code generation,software implementation,software implementation
Bifrost-AI/Mirage-OpenReasoning-Nemotron-7B,Mirage-OpenReasoning-Nemotron-7B,Fine-tuned,nvidia/OpenReasoning-Nemotron-7B,IS_FINETUNED_FROM,2,Qwen/Qwen2.5-7B,code generation,code generation,software implementation,software implementation
CISCai/OpenCodeInterpreter-DS-6.7B-SOTA-GGUF,OpenCodeInterpreter-DS-6.7B-SOTA-GGUF,Quantized,m-a-p/OpenCodeInterpreter-DS-6.7B,IS_QUANTIZED_FROM,2,deepseek-ai/deepseek-coder-6.7b-base,system design; coding; code generation,system design; coding; code generation,software design; software implementation,software design; software implementation
CISCai/Yi-Coder-9B-Chat-SOTA-GGUF,Yi-Coder-9B-Chat-SOTA-GGUF,Quantized,01-ai/Yi-Coder-9B-Chat,IS_QUANTIZED_FROM,2,01-ai/Yi-Coder-9B,coding,coding,software implementation,software implementation
CYB3RFUNK/all-MiniLM-L6-v2,all-MiniLM-L6-v2,Fine-tuned,nreimers/MiniLM-L6-H384-uncased,IS_FINETUNED_FROM,2,microsoft/MiniLM-L12-H384-uncased,code search,code search,software implementation,software implementation
Ch333tah/modernbert-finqalab-embeddings,modernbert-finqalab-embeddings,Fine-tuned,nomic-ai/modernbert-embed-base,IS_FINETUNED_FROM,2,answerdotai/ModernBERT-base,logging,logging,software maintenance,software maintenance
ChathamHouse/Norb3rt-14B-RL-Reasoning,Norb3rt-14B-RL-Reasoning,Fine-tuned,Qwen/Qwen2.5-14B-Instruct,IS_FINETUNED_FROM,2,Qwen/Qwen2.5-14B,code generation; data analysis,code generation; data analysis,software implementation,software implementation
CheeseCoder/Qwen3-4B-Instruct-2507-heretic-GGUF,Qwen3-4B-Instruct-2507-heretic-GGUF,Quantized,CheeseCoder/Qwen3-4B-Instruct-2507-heretic,IS_QUANTIZED_FROM,2,Qwen/Qwen3-4B-Instruct-2507,code generation,code generation,software implementation,software implementation
ChiKoi7/Llama-3.3-8B-Opus-Z8-Heretic,Llama-3.3-8B-Opus-Z8-Heretic,Fine-tuned,Daemontatox/Llama-3.3-8B-Instruct,IS_FINETUNED_FROM,2,meta-llama/Meta-Llama-3-8B-Instruct,code generation,code generation,software implementation,software implementation
Chrisfrancisque/llama2-7b-coding-fft,llama2-7b-coding-fft,Fine-tuned,meta-llama/Llama-2-7b-hf,IS_FINETUNED_FROM,2,meta-llama/Llama-2-7b,coding; code generation,coding; code generation,software implementation,software implementation
Cloudy1225/stackoverflow-roberta-base-sentiment,stackoverflow-roberta-base-sentiment,Fine-tuned,cardiffnlp/twitter-roberta-base-sentiment,IS_FINETUNED_FROM,2,FacebookAI/roberta-base,sentiment analysis,sentiment analysis,software maintenance,software maintenance
CodeTranslatorLLM/LinguistLLM,LinguistLLM,Fine-tuned,unsloth/Llama-3.2-3B-Instruct,IS_FINETUNED_FROM,2,meta-llama/Llama-3.2-3B-Instruct,code translation,code translation,software implementation,software implementation
Daemontatox/OR1-Behemoth,OR1-Behemoth,Fine-tuned,QuixiAI/Qwen3-72B-Embiggened,IS_FINETUNED_FROM,2,Qwen/Qwen3-32B,code generation; code completion; code review,code generation; code completion; code review,software implementation; software maintenance,software implementation; software maintenance
Daemontatox/Zirel-3,Zirel-3,Fine-tuned,cerebras/GLM-4.5-Air-REAP-82B-A12B,IS_FINETUNED_FROM,2,zai-org/GLM-4.5-Air,code generation,code generation,software implementation,software implementation
Danielbrdz/Barcenas-2.7b,Barcenas-2.7b,Fine-tuned,microsoft/phi-2,IS_FINETUNED_FROM,2,microsoft/phi-1_5,code generation,code generation,software implementation,software implementation
Dark-V01d12/Qwen2.5-Coder-32B-Instruct,Qwen2.5-Coder-32B-Instruct,Fine-tuned,Qwen/Qwen2.5-Coder-32B,IS_FINETUNED_FROM,2,Qwen/Qwen2.5-32B,code generation,code generation,software implementation,software implementation
DataikuNLP/kiji-pii-model-onnx,kiji-pii-model-onnx,Quantized,DataikuNLP/kiji-pii-model,IS_QUANTIZED_FROM,2,microsoft/deberta-v3-small,coreference detection,coreference detection,requirements engineering,requirements engineering
DavidAU/Openai_gpt-oss-20b-CODER-NEO-CODE-DI-MATRIX-GGUF,Openai_gpt-oss-20b-CODER-NEO-CODE-DI-MATRIX-GGUF,Quantized,openai/gpt-oss-20b,IS_QUANTIZED_FROM,2,openai/gpt-oss-120b,coding; code generation,coding; code generation,software implementation,software implementation
DavidAU/Openai_gpt-oss-20b-NEO-GGUF,Openai_gpt-oss-20b-NEO-GGUF,Quantized,openai/gpt-oss-20b,IS_QUANTIZED_FROM,2,openai/gpt-oss-120b,coding; code generation,coding; code generation,software implementation,software implementation
DavidAU/Qwen3-42B-A3B-2507-Thinking-Abliterated-uncensored-TOTAL-RECALL-v2-Medium-MASTER-CODER,Qwen3-42B-A3B-2507-Thinking-Abliterated-uncensored-TOTAL-RECALL-v2-Medium-MASTER-CODER,Fine-tuned,huihui-ai/Huihui-Qwen3-30B-A3B-Thinking-2507-abliterated,IS_FINETUNED_FROM,2,Qwen/Qwen3-30B-A3B-Thinking-2507,coding; code generation,coding; code generation,software implementation,software implementation
DavidAU/Qwen3-Jan-v1-256k-ctx-6B-Brainstorm20x,Qwen3-Jan-v1-256k-ctx-6B-Brainstorm20x,Fine-tuned,janhq/Jan-v1-4B,IS_FINETUNED_FROM,2,Qwen/Qwen3-4B-Thinking-2507,coding; code generation,coding; code generation,software implementation,software implementation
DavidAU/Qwen3-VL-12B-Instruct-Brainstorm20x-NEO-MAX-GGUF,Qwen3-VL-12B-Instruct-Brainstorm20x-NEO-MAX-GGUF,Quantized,DavidAU/Qwen3-VL-12B-Instruct-Brainstorm20x,IS_QUANTIZED_FROM,2,Qwen/Qwen3-VL-8B-Instruct,coding; code generation,coding; code generation,software implementation,software implementation
DavidAU/Qwen3-VLTO-TNG-12B-256k-NEO-imatrix-GGUF,Qwen3-VLTO-TNG-12B-256k-NEO-imatrix-GGUF,Fine-tuned,qingy2024/Qwen3-VLTO-8B-Instruct,IS_FINETUNED_FROM,2,Qwen/Qwen3-VL-8B-Instruct,coding; code generation,coding; code generation,software implementation,software implementation
DavidAU/Qwen3-Yoyo-V3-42B-A3B-Thinking-TOTAL-RECALL-ST-TNG-III,Qwen3-Yoyo-V3-42B-A3B-Thinking-TOTAL-RECALL-ST-TNG-III,Fine-tuned,YOYO-AI/Qwen3-30B-A3B-YOYO-V3,IS_FINETUNED_FROM,2,Qwen/Qwen3-30B-A3B-Instruct-2507; Qwen/Qwen3-30B-A3B-Thinking-2507; Qwen/Qwen3-Coder-30B-A3B-Instruct,coding; code generation,coding; code generation,software implementation,software implementation
Davidsv/Qwen15-DeepSeekCoder-Merge,Qwen15-DeepSeekCoder-Merge,Merge,deepseek-ai/deepseek-coder-6.7b-instruct; Qwen/Qwen1.5-7B-Chat,IS_MERGE_OF,2,deepseek-ai/deepseek-coder-6.7b-base; Qwen/Qwen1.5-7B-Chat,code generation,code generation,software implementation,software implementation
DeonJudeSchellito/deepseek-instruct-docker-commands,deepseek-instruct-docker-commands,Fine-tuned,deepseek-ai/deepseek-coder-1.3b-instruct,IS_FINETUNED_FROM,2,deepseek-ai/deepseek-coder-1.3b-base,code generation,code generation,software implementation,software implementation
DeryFerd/Qwen2.5-Coder-7B-Instruct-Distill-Phi2-974mbpp,Qwen2.5-Coder-7B-Instruct-Distill-Phi2-974mbpp,Fine-tuned,microsoft/phi-2,IS_FINETUNED_FROM,2,microsoft/phi-1_5,code generation,code generation,software implementation,software implementation
DesilDev/Blocksmith,Blocksmith,Fine-tuned,DesilDev/t5-small-summery,IS_FINETUNED_FROM,2,google-t5/t5-small,logging,logging,software maintenance,software maintenance
Dimensity/Complexity-1B,Complexity-1B,Fine-tuned,afrideva/GPT-NeoX-1.3B-viet-final-GGUF,IS_FINETUNED_FROM,2,eunyounglee/GPT-NeoX-1.3B-viet-final,code completion,code completion,software implementation,software implementation
Dogestella/rtune-gpt-oss-20b-finetune,rtune-gpt-oss-20b-finetune,Adapter,openai/gpt-oss-20b,IS_ADAPTER_OF,2,openai/gpt-oss-120b,code generation,code generation,software implementation,software implementation
Doradus-AI/Hermes-4.3-36B-FP8,Hermes-4.3-36B-FP8,Quantized,NousResearch/Hermes-4.3-36B,IS_QUANTIZED_FROM,2,ByteDance-Seed/Seed-OSS-36B-Base,code generation,code generation,software implementation,software implementation
Doradus-AI/MiroThinker-v1.0-30B-FP8,MiroThinker-v1.0-30B-FP8,Quantized,miromind-ai/MiroThinker-v1.0-30B,IS_QUANTIZED_FROM,2,Qwen/Qwen3-30B-A3B-Thinking-2507,code generation,code generation,software implementation,software implementation
DunnBC22/distilbert-base-uncased-US_Airline_Twitter_Sentiment_Analysis,distilbert-base-uncased-US_Airline_Twitter_Sentiment_Analysis,Fine-tuned,distilbert/distilbert-base-uncased,IS_FINETUNED_FROM,2,google-bert/bert-base-uncased,sentiment analysis,sentiment analysis,software maintenance,software maintenance
EmbeddingStudio/query-parser-falcon-7b-instruct,query-parser-falcon-7b-instruct,Adapter,tiiuae/falcon-7b-instruct,IS_ADAPTER_OF,2,tiiuae/falcon-7b,instruction generation,instruction generation,software implementation,software implementation
EpistemeAI/Fireball-Meta-Llama-3.1-8B-Instruct-Agent-0.004-128K-code-COT,Fireball-Meta-Llama-3.1-8B-Instruct-Agent-0.004-128K-code-COT,Fine-tuned,EpistemeAI/Fireball-Meta-Llama-3.1-8B-Instruct-Agent-0.003-128K-code,IS_FINETUNED_FROM,2,EpistemeAI/Fireball-Meta-Llama-3.1-8B-Instruct-Agent-0.003-128K,coding,coding,software implementation,software implementation
EpistemeAI/VCoder-120b-1.0,VCoder-120b-1.0,Quantized,unsloth/gpt-oss-120b-unsloth-bnb-4bit,IS_QUANTIZED_FROM,2,openai/gpt-oss-120b,coding; rapid prototyping; code generation,coding; rapid prototyping; code generation,software design; software implementation,software design; software implementation
EpistemeAI/rsi-gpt-oss-120bv2-8bit,rsi-gpt-oss-120bv2-8bit,Quantized,unsloth/gpt-oss-120b-unsloth-bnb-4bit,IS_QUANTIZED_FROM,2,openai/gpt-oss-120b,verification; test generation,verification; test generation,software quality assurance,software quality assurance
EpistemeAI2/Fireball-Meta-Llama-3.1-8B-Instruct-Agent-0.003-128K-code-math,Fireball-Meta-Llama-3.1-8B-Instruct-Agent-0.003-128K-code-math,Fine-tuned,EpistemeAI/Fireball-Meta-Llama-3.1-8B-Instruct-Agent-0.003-128K-code,IS_FINETUNED_FROM,2,EpistemeAI/Fireball-Meta-Llama-3.1-8B-Instruct-Agent-0.003-128K,coding,coding,software implementation,software implementation
EpistemeAI2/Fireball-Meta-Llama-3.1-8B-Instruct-Agent-0.005-128K-code-COT,Fireball-Meta-Llama-3.1-8B-Instruct-Agent-0.005-128K-code-COT,Fine-tuned,EpistemeAI/Fireball-Meta-Llama-3.1-8B-Instruct-Agent-0.003-128K-code,IS_FINETUNED_FROM,2,EpistemeAI/Fireball-Meta-Llama-3.1-8B-Instruct-Agent-0.003-128K,coding,coding,software implementation,software implementation
EricSpencer00/chattla-20b,chattla-20b,Quantized,openai/gpt-oss-20b,IS_QUANTIZED_FROM,2,openai/gpt-oss-120b,verification; rapid prototyping; specification generation,verification; rapid prototyping; specification generation,requirements engineering; software design; software quality assurance,requirements engineering; software design; software quality assurance
EricSpencer00/chattla-20b-gguf,chattla-20b-gguf,Quantized,openai/gpt-oss-20b,IS_QUANTIZED_FROM,2,openai/gpt-oss-120b,specification generation,specification generation,requirements engineering,requirements engineering
ExaltedSlayer/ibm-granite-4.0-h-small-mlx-mxfp4,ibm-granite-4.0-h-small-mlx-mxfp4,Quantized,ibm-granite/granite-4.0-h-small,IS_QUANTIZED_FROM,2,ibm-granite/granite-4.0-h-small-base,code completion,code completion,software implementation,software implementation
ExaltedSlayer/unsloth-phi-4-mlx-mxfp4,unsloth-phi-4-mlx-mxfp4,Quantized,unsloth/phi-4,IS_QUANTIZED_FROM,2,microsoft/phi-4,coding; code generation,coding; code generation,software implementation,software implementation
FBogaerts/Llama-3.1-8B-Instruct-Finetuned.Q4_K_M.gguf,Llama-3.1-8B-Instruct-Finetuned.Q4_K_M.gguf,Quantized,meta-llama/Llama-3.1-8B-Instruct,IS_QUANTIZED_FROM,2,meta-llama/Llama-3.1-8B,construction for security,construction for security,software quality assurance,software quality assurance
Falconsai/phi-2-chaos,phi-2-chaos,Fine-tuned,microsoft/phi-2,IS_FINETUNED_FROM,2,microsoft/phi-1_5,cybersecurity,cybersecurity,software quality assurance,software quality assurance
FerdinandC/llama-autocomplete-code-finetuned,llama-autocomplete-code-finetuned,Adapter,meta-llama/Llama-3.1-8B-Instruct,IS_ADAPTER_OF,2,meta-llama/Llama-3.1-8B,coding; code generation; code completion,coding; code generation; code completion,software implementation,software implementation
Free2WT/Qwen2.5-Coder-7B-Instruct,Qwen2.5-Coder-7B-Instruct,Fine-tuned,Qwen/Qwen2.5-Coder-7B,IS_FINETUNED_FROM,2,Qwen/Qwen2.5-7B,code generation,code generation,software implementation,software implementation
FriendliAI/Llama-3_3-Nemotron-Super-49B-v1_5,Llama-3_3-Nemotron-Super-49B-v1_5,Fine-tuned,meta-llama/Llama-3.3-70B-Instruct,IS_FINETUNED_FROM,2,meta-llama/Llama-3.1-70B,coding,coding,software implementation,software implementation
FriendliAI/Phi-4-multimodal-instruct,Phi-4-multimodal-instruct,Fine-tuned,microsoft/Phi-4-mini-instruct,IS_FINETUNED_FROM,2,milandean/Phi-3.5-mini,coding,coding,software implementation,software implementation
GANGodfather/Affine-5GKPKrwdCgvw2cPyi8VdiG1cWiHQ3rc2GbrWsNzYkJJ81wo1,Affine-5GKPKrwdCgvw2cPyi8VdiG1cWiHQ3rc2GbrWsNzYkJJ81wo1,Fine-tuned,Qwen/Qwen2.5-Coder-32B,IS_FINETUNED_FROM,2,Qwen/Qwen2.5-32B,coding; code generation,coding; code generation,software implementation,software implementation
GAlex535/Qwen3-14B-NVFP4,Qwen3-14B-NVFP4,Quantized,Qwen/Qwen3-14B,IS_QUANTIZED_FROM,2,Qwen/Qwen3-14B-Base,code generation,code generation,software implementation,software implementation
GOBA-AI-Labs/PrunedHub-Qwen3.5-35B-A3B-80pct,PrunedHub-Qwen3.5-35B-A3B-80pct,Quantized,Qwen/Qwen3.5-35B-A3B,IS_QUANTIZED_FROM,2,Qwen/Qwen3.5-35B-A3B-Base,code generation,code generation,software implementation,software implementation
GPT4All-Community/Phi-3.1-mini-128k-instruct-GGUF,Phi-3.1-mini-128k-instruct-GGUF,Fine-tuned,microsoft/Phi-3-mini-128k-instruct,IS_FINETUNED_FROM,2,microsoft/Phi-3.5-vision-instruct,code understanding; coding; code generation,code understanding; coding; code generation,software implementation,software implementation
GenerativeMagic/Llama-Engineer-Evol-7b-GGML,Llama-Engineer-Evol-7b-GGML,Quantized,GenerativeMagic/Llama-Engineer-Evol-7b,IS_QUANTIZED_FROM,2,meta-llama/Llama-2-7b-chat-hf,coding,coding,software implementation,software implementation
GetSoloTech/Gemma3-Code-Reasoning-4B,Gemma3-Code-Reasoning-4B,Fine-tuned,google/gemma-3-4b-it,IS_FINETUNED_FROM,2,google/gemma-3-4b-pt,code generation,code generation,software implementation,software implementation
GhertilAbdelmalek10/Llama-3.1-Scan-Expert,Llama-3.1-Scan-Expert,Adapter,meta-llama/Llama-3.1-8B-Instruct,IS_ADAPTER_OF,2,meta-llama/Llama-3.1-8B,information security,information security,software quality assurance,software quality assurance
GodsDevProject/qwe2.5-coder-Uncensored,qwe2.5-coder-Uncensored,Fine-tuned,Qwen/Qwen2.5-Coder-7B,IS_FINETUNED_FROM,2,Qwen/Qwen2.5-7B,code generation,code generation,software implementation,software implementation
Guervency/qwen2.5-coder-32b-instruct,qwen2.5-coder-32b-instruct,Fine-tuned,Qwen/Qwen2.5-Coder-32B,IS_FINETUNED_FROM,2,Qwen/Qwen2.5-32B,coding; code generation,coding; code generation,software implementation,software implementation
HachiML/SkillTree-Code-llama2-7b-hf,SkillTree-Code-llama2-7b-hf,Fine-tuned,meta-llama/Llama-2-7b-hf,IS_FINETUNED_FROM,2,meta-llama/Llama-2-7b,code generation,code generation,software implementation,software implementation
HachiML/Swallow-MS-7b-v0.1-ChatSkill,Swallow-MS-7b-v0.1-ChatSkill,Fine-tuned,tokyotech-llm/Swallow-MS-7b-v0.1,IS_FINETUNED_FROM,2,mistralai/Mistral-7B-v0.1,code generation,code generation,software implementation,software implementation
HachiML/Swallow-MS-7b-v0.1-MathSkill-OpenMath,Swallow-MS-7b-v0.1-MathSkill-OpenMath,Fine-tuned,tokyotech-llm/Swallow-MS-7b-v0.1,IS_FINETUNED_FROM,2,mistralai/Mistral-7B-v0.1,code generation,code generation,software implementation,software implementation
Harish102005/Qwen2.5-Coder-7B-manim,Qwen2.5-Coder-7B-manim,Adapter,Qwen/Qwen2.5-Coder-7B,IS_ADAPTER_OF,2,Qwen/Qwen2.5-7B,rapid prototyping,rapid prototyping,software design,software design
Harveyuyu/all-MiniLM-L6-v2,all-MiniLM-L6-v2,Fine-tuned,nreimers/MiniLM-L6-H384-uncased,IS_FINETUNED_FROM,2,microsoft/MiniLM-L12-H384-uncased,code search,code search,software implementation,software implementation
HassanShehata/logem,logem,Fine-tuned,Qwen/Qwen3-0.6B,IS_FINETUNED_FROM,2,Qwen/Qwen3-0.6B-Base,information security,information security,software quality assurance,software quality assurance
HassanShehata/logem-win,logem-win,Fine-tuned,Qwen/Qwen3-0.6B,IS_FINETUNED_FROM,2,Qwen/Qwen3-0.6B-Base,logging; information security,logging; information security,software quality assurance; software maintenance,software quality assurance; software maintenance
HattoriHanzo1/Leonidas-4B-GGUF,Leonidas-4B-GGUF,Adapter,Qwen/Qwen3.5-4B,IS_ADAPTER_OF,2,Qwen/Qwen3.5-4B-Base,code generation,code generation,software implementation,software implementation
HattoriHanzo1/NoQtua-4B-GGUF,NoQtua-4B-GGUF,Adapter,Qwen/Qwen3-4B,IS_ADAPTER_OF,2,Qwen/Qwen3-4B-Base,code generation,code generation,software implementation,software implementation
HeavensHackDev/Gear-2-500m,Gear-2-500m,Quantized,Qwen/Qwen2.5-0.5B-Instruct,IS_QUANTIZED_FROM,2,Qwen/Qwen2.5-0.5B,coding; code generation,coding; code generation,software implementation,software implementation
HemanthKari/Llama-3.1-Pro-Coder-v1,Llama-3.1-Pro-Coder-v1,Fine-tuned,meta-llama/Llama-3.1-8B-Instruct,IS_FINETUNED_FROM,2,meta-llama/Llama-3.1-8B,coding; code generation; code completion,coding; code generation; code completion,software implementation,software implementation
Hiepmaster/HiepPanicBotV5,HiepPanicBotV5,Adapter,Tongyi-MAI/Z-Image-Turbo,IS_ADAPTER_OF,2,Tongyi-MAI/Z-Image,logging,logging,software maintenance,software maintenance
HuanWang/test,test,Fine-tuned,FacebookAI/xlm-roberta-base,IS_FINETUNED_FROM,2,FacebookAI/roberta-base,code summarization; code completion; code representation; code search,code summarization; code completion; code representation; code search,software implementation,software implementation
HuggingFaceH4/starchat-beta,starchat-beta,Fine-tuned,bigcode/starcoderplus,IS_FINETUNED_FROM,2,bigcode/starcoderbase,code completion,code completion,software implementation,software implementation
HuggingFaceH4/starchat2-15b-v0.1,starchat2-15b-v0.1,Fine-tuned,HuggingFaceH4/starchat2-15b-sft-v0.1,IS_FINETUNED_FROM,2,bigcode/starcoder2-15b,code completion,code completion,software implementation,software implementation
InfiniAILab/CodeDrafter-500M,CodeDrafter-500M,Fine-tuned,facebook/layerskip-llama3.2-1B,IS_FINETUNED_FROM,2,meta-llama/Llama-3.2-1B,coding,coding,software implementation,software implementation
InfosysEnterprise/NT-Java-1.1B-GGUF,NT-Java-1.1B-GGUF,Quantized,InfosysEnterprise/NT-Java-1.1B,IS_QUANTIZED_FROM,2,bigcode/starcoderbase-1b,coding,coding,software implementation,software implementation
Intel/phi-2-ov-quantized,phi-2-ov-quantized,Quantized,microsoft/phi-2,IS_QUANTIZED_FROM,2,microsoft/phi-1_5,code completion,code completion,software implementation,software implementation
Jackrong/NVIDIA-Nemotron-Nano-9B-v2-GGUF,NVIDIA-Nemotron-Nano-9B-v2-GGUF,Quantized,nvidia/NVIDIA-Nemotron-Nano-12B-v2,IS_QUANTIZED_FROM,2,nvidia/NVIDIA-Nemotron-Nano-12B-v2-Base,code generation; data analysis,code generation; data analysis,software implementation,software implementation
JahnaviKumar/7BCodeLLama_PyCdSmry_Hetro_Central_LoRA,7BCodeLLama_PyCdSmry_Hetro_Central_LoRA,Fine-tuned,meta-llama/Llama-2-7b-hf,IS_FINETUNED_FROM,2,meta-llama/Llama-2-7b,code summarization,code summarization,software implementation,software implementation
JeswinMS4/distilbert-finetuned,distilbert-finetuned,Fine-tuned,distilbert/distilbert-base-uncased,IS_FINETUNED_FROM,2,google-bert/bert-base-uncased,code generation,code generation,software implementation,software implementation
KAKA22/CodeRM-8B,CodeRM-8B,Fine-tuned,meta-llama/Llama-3.1-8B-Instruct,IS_FINETUNED_FROM,2,meta-llama/Llama-3.1-8B,code generation; test generation,code generation; test generation,software implementation; software quality assurance,software implementation; software quality assurance
KalyanJyothula18/Qwen3-8B-Lite,Qwen3-8B-Lite,Fine-tuned,Qwen/Qwen3-8B,IS_FINETUNED_FROM,2,Qwen/Qwen3-8B-Base,coding; code generation,coding; code generation,software implementation,software implementation
KingyJr/King-Kode-128k,King-Kode-128k,Fine-tuned,deepseek-ai/deepseek-coder-33b-instruct,IS_FINETUNED_FROM,2,deepseek-ai/deepseek-coder-33b-base,code generation; code completion; debugging,code generation; code completion; debugging,software implementation; software maintenance,software implementation; software maintenance
Kiy-K/Fyodor-Q3-8B-Instruct,Fyodor-Q3-8B-Instruct,Adapter,Qwen/Qwen3-8B,IS_ADAPTER_OF,2,Qwen/Qwen3-8B-Base,coding; code generation; code review,coding; code generation; code review,software implementation; software maintenance,software implementation; software maintenance
Kiy-K/moe-gpt-neox-125m-v1.5,moe-gpt-neox-125m-v1.5,Fine-tuned,Kiy-K/moe-gpt-neox-125m-v1.1,IS_FINETUNED_FROM,2,EleutherAI/pythia-160m,code understanding; code generation,code understanding; code generation,software implementation,software implementation
Kkaastr/Devple-8B,Devple-8B,Fine-tuned,meta-llama/Llama-3.1-8B-Instruct,IS_FINETUNED_FROM,2,meta-llama/Llama-3.1-8B,code generation,code generation,software implementation,software implementation
