base_model,n_derived_models,share_pct,cumulative_pct,rank,n_tasks,n_activities,tasks
mradermacher/Qwen3-2x6B-TNG-Deckard-Alpha-III-12B-i1-GGUF,2,0.07,91.42,276,2,1,code generation; coding
mosaicml/mpt-7b,2,0.07,91.49,277,1,1,code generation
moonshotai/Kimi-K2-Instruct-0905,2,0.07,91.56,278,2,1,code generation; coding
ibm-granite/granite-4.0-350m-base,2,0.07,91.63,279,1,1,code completion
microsoft/CodeGPT-small-py,2,0.07,91.7,280,3,1,code generation; code understanding; coding
mistralai/Mistral-Nemo-Base-2407,2,0.07,91.77,281,4,1,code completion; code generation; code understanding; coding
mistralai/Ministral-3-3B-Base-2512,2,0.07,91.84,282,2,2,coding; information security
mistralai/Codestral-22B-v0.1,2,0.07,91.91,283,2,1,code completion; coding
mistral-community/Mixtral-8x22B-v0.1,2,0.07,91.98,284,2,1,code generation; coding
miromind-ai/MiroThinker-4B-DPO-v0.2,2,0.07,92.05,285,2,2,code generation; debugging
microsoft/wavecoder-ultra-6.7b,2,0.07,92.12,286,4,1,code generation; code summarization; code translation; coding
microsoft/Phi-3-medium-4k-instruct,2,0.07,92.19,287,2,1,code generation; coding
VietAI/vit5-base,2,0.07,92.26,288,1,1,sentiment analysis
01-ai/Yi-34B,2,0.07,92.33,289,1,1,code generation
zenlm/zen4-coder-pro,2,0.07,92.4,290,1,1,coding
DavidAU/Qwen3-Polaris-Preview-128k-6B-Brainstorm20x,2,0.07,92.47,291,2,1,code generation; coding
Snowflake/snowflake-arctic-embed-m-long,2,0.07,92.54,292,4,2,code completion; code generation; coding; software maintenance
MaziyarPanahi/Mistral-7B-v0.1,2,0.07,92.61,293,1,1,code generation
HelpingAI/Cipher-20B,2,0.07,92.68,294,1,1,code generation
DavidAU/Qwen3-ST-The-Next-Generation-42B,2,0.07,92.75,295,2,1,code generation; coding
Qwen/Qwen3.5-4B-Base,2,0.07,92.82,296,2,1,code editing; code generation
DavidAU/Qwen3-ST-The-Next-Generation-32B,2,0.07,92.89,297,2,1,code generation; coding
DavidAU/Qwen3-ST-Deep-Space-Nine-v3-256k-ctx-6B,2,0.07,92.96,298,2,1,code generation; coding
HuggingFaceTB/SmolLM-1.7B,2,0.07,93.03,299,3,1,code completion; code generation; coding
HuggingFaceTB/SmolLM2-1.7B,2,0.07,93.1,300,2,1,code generation; coding
BSC-LT/salamandra-2b,2,0.07,93.17,301,1,1,data analysis
DavidAU/Qwen3-TND-Double-Deckard-A-C-11B-220,2,0.07,93.24,302,2,1,code generation; coding
Qwen/Qwen3.5-397B-A17B,2,0.07,93.31,303,1,1,code generation
HuggingFaceTB/SmolLM2-360M,2,0.07,93.38,304,2,2,code generation; logging
DavidAU/Qwen3-DND-Jan-v1-256k-ctx-Brainstorm40x-8B,2,0.07,93.45,305,2,1,code generation; coding
Salesforce/codet5p-770m-py,2,0.07,93.52,306,3,1,code completion; code generation; code understanding
DavidAU/Qwen3-Almost-Human-6B-III-Final-OMEGA2,2,0.07,93.59,307,2,1,code generation; coding
Salesforce/codet5p-770m,2,0.07,93.66,308,3,1,code completion; code generation; code understanding
MiniMaxAI/MiniMax-Text-01,2,0.07,93.73,309,1,1,code editing
DavidAU/Qwen3-8B-DND-Almost-Human-C,2,0.07,93.8,310,2,1,code generation; coding
Qwen/CodeQwen1.5-7B,2,0.07,93.87,311,1,1,code generation
DavidAU/Qwen3-ST-The-Next-Generation-II-FreakStorm-E32-v1-256k-ctx-6B,2,0.07,93.94,312,2,1,code generation; coding
Daoguang/PyCodeGPT,2,0.07,94.01,313,1,1,code generation
DavidAU/Qwen3-Yoyo-V4-42B-A3B-Thinking-TOTAL-RECALL-ST-TNG-IV,2,0.07,94.08,314,2,1,code generation; coding
Gen-Verse/Qwen3-4B-RA-SFT,2,0.07,94.15,315,3,2,code generation; data analysis; debugging
DavidAU/Mistral-2x24B-MOE-Magistral-2506-Devstral-2507-1.1-Coder-Reasoning-Ultimate-44B,2,0.07,94.22,316,2,1,code generation; coding
NousResearch/Llama-2-7b-chat-hf,2,0.07,94.29,317,2,2,logging; vulnerability detection
DavidAU/Qwen3-17B-QiMing-V1.0-Total-Recall-Medium,2,0.07,94.36,318,2,1,code generation; coding
CohereLabs/c4ai-command-r7b-12-2024,2,0.07,94.43,319,1,1,code translation
Salesforce/codegen-6B-mono,2,0.07,94.5,320,2,1,code generation; program synthesis
BEE-spoke-data/smol_llama-220M-GQA,2,0.07,94.57,321,1,1,code generation
CohereLabs/c4ai-command-r-v01,2,0.07,94.64,322,1,1,code completion
DeepPavlov/rubert-base-cased,2,0.07,94.71,323,3,1,functional requirement; requirements classification; software requirement
BEE-spoke-data/smol_llama-101M-GQA,2,0.07,94.78,324,1,1,code generation
BSC-LT/salamandra-7b,2,0.07,94.85,325,1,1,data analysis
DavidAU/Qwen3-53B-A3B-TOTAL-RECALL-MASTER-CODER-v1.4,2,0.07,94.92,326,1,1,code generation
CohereLabs/c4ai-command-a-03-2025,2,0.07,94.99,327,2,1,code generation; code translation
Salesforce/codegen25-7b-multi_P,2,0.07,95.06,328,1,1,program synthesis
Salesforce/codet5p-220m-bimodal,2,0.07,95.13,329,2,1,code generation; code translation
DavidAU/Qwen3-Yoyo-V3-54B-A3B-Thinking-TOTAL-RECALL,2,0.07,95.2,330,2,1,code generation; coding
ClueAI/ChatYuan-large-v1,2,0.07,95.27,331,1,1,code generation
DavidAU/Qwen3-Yoyo-V4-42B-A3B-Thinking-TOTAL-RECALL,2,0.07,95.34,332,2,1,code generation; coding
DavidAU/Qwen3-Yoyo-V3-42B-A3B-Thinking-Total-Recall,2,0.07,95.41,333,2,1,code generation; coding
DavidAU/Almost-Human-X3-32bit-1460-6B,2,0.07,95.48,334,2,1,code generation; coding
Danielbrdz/Barcenas-Llama3-8b-ORPO,1,0.03,95.51,335,2,1,code completion; code generation
mradermacher/Qwen3-ST-Deep-Space-Nine-v1-256k-ctx-6B-GGUF,1,0.03,95.54,336,2,1,code generation; coding
mradermacher/Qwen3-Instruct-F16-6B-Brainstorm20x-128k-ctx-i1-GGUF,1,0.03,95.57,337,2,1,code generation; coding
mradermacher/Qwen3-Jan-DEMA-20x-6B-i1-GGUF,1,0.03,95.6,338,2,1,code generation; coding
mradermacher/Qwen3-RA-TNG-1500-6B-i1-GGUF,1,0.03,95.63,339,2,1,code generation; coding
mradermacher/Qwen3-RA-TNG-1220-6B-i1-GGUF,1,0.03,95.66,340,2,1,code generation; coding
mradermacher/Qwen3-Jan-Jan-20x-Almost-Human-III-8B-232-i1-GGUF,1,0.03,95.69,341,1,1,coding
mradermacher/Qwen3-Almost-Human-6B-III-240-OMEGA2-i1-GGUF,1,0.03,95.72,342,1,1,coding
mradermacher/Qwen3-Coder-42B-A3B-Instruct-TOTAL-RECALL-MASTER-CODER-M-768k-ctx-i1-GGUF,1,0.03,95.75,343,1,1,code generation
nbeerbower/llama-3-sauce-v1-8B,1,0.03,95.78,344,2,1,code completion; code generation
mradermacher/Qwen3-ST-The-Next-Generation-II-FreakStorm2-E32-v1-256k-ctx-6B-i1-GGUF,1,0.03,95.81,345,2,1,code generation; coding
nightmedia/Qwen3-4B-Element16,1,0.03,95.84,346,2,2,code generation; debugging
nothingiisreal/L3-8B-Celeste-v1,1,0.03,95.87,347,2,1,code completion; code generation
norallm/normistral-7b-scratch,1,0.03,95.9,348,1,1,code generation
nightmedia/Qwen3-MOE-2x8B-TNG-Deckard-Beta-16B-qx-mlx,1,0.03,95.93,349,2,1,code generation; coding
nightmedia/Qwen3-Esper3-Reasoning-CODER-Instruct-6B-Brainstorm20x-q8-mlx,1,0.03,95.96,350,2,1,code generation; coding
nightmedia/Qwen3-Esper3-Reasoning-CODER-Instruct-21B-Brainstorm20x-q6-mlx,1,0.03,95.99,351,2,1,code generation; coding
nightmedia/Qwen3-Esper3-Reasoning-CODER-Instruct-21B-Brainstorm20x-128k-ctx-q6-mlx,1,0.03,96.02,352,2,1,code generation; coding
nightmedia/Qwen3-Deckard-Large-Almost-Human-6B-III-F-mlx,1,0.03,96.05,353,2,1,code generation; coding
nightmedia/Qwen3-55B-A3B-2507-TOTAL-RECALL-v2-MASTER-CODER-q6-hi-mlx,1,0.03,96.08,354,1,1,coding
nightmedia/Qwen3-4B-Thinking2-Claude,1,0.03,96.11,355,2,2,code generation; debugging
nightmedia/Qwen3-42B-A3B-2507-TOTAL-RECALL-v2-Medium-MASTER-CODER-q6-hi-mlx,1,0.03,96.14,356,2,1,code generation; coding
mradermacher/Qwen3-Shining-Lucy-CODER-2.4B-e32-mix2-i1-GGUF,1,0.03,96.17,357,2,1,code generation; coding
nightmedia/Mistral-Devstral-2507-CODER-Brainstorm40x-44B-q6-mlx,1,0.03,96.2,358,2,1,code generation; coding
nightmedia/Mistral-Devstral-2505-CODER-Brainstorm40x-44B-q6-mlx,1,0.03,96.23,359,2,1,code generation; coding
nightmedia/ERNIE-4.5-36B-A3B-Thinking-Brainstorm20x-qx64-hi-mlx,1,0.03,96.26,360,2,1,code generation; coding
nextai-team/Moe-4x7b-reason-code-qa,1,0.03,96.29,361,1,1,code generation
nextai-team/Moe-2x7b-QA-Code,1,0.03,96.32,362,3,2,code generation; code review; coding
mrm8488/codebert2codebert-finetuned-code-refinement-small,1,0.03,96.35,363,1,1,defect detection
Daemontatox/Llama-3.3-8B-Instruct,1,0.03,96.38,364,1,1,code generation
Daemontatox/Tiny-OR1-Rust,1,0.03,96.41,365,4,1,code completion; code generation; code understanding; coding
mradermacher/Qwen3-Shining-Lucy-CODER-3.4B-Brainstorm20x-e32-GGUF,1,0.03,96.44,366,2,1,code generation; coding
DavidAU/L3-Dark-Planet-8B-V2-Eight-Orbs-Of-Power,1,0.03,96.47,367,2,1,code completion; code generation
mradermacher/Qwen2.5-4x7B-Quad-Coder-Instruct-30B-128k-ctx-i1-GGUF,1,0.03,96.5,368,2,1,code generation; coding
DavidAU/L3.1-RP-Hero-BigTalker-8B,1,0.03,96.53,369,2,1,code completion; code generation
DavidAU/Qwen3-Instruct-6B-Brainstorm20x-128k-ctx,1,0.03,96.56,370,2,1,code generation; coding
migtissera/Tess-2.0-Llama-3-8B,1,0.03,96.59,371,2,1,code completion; code generation
migtissera/Llama-3-8B-Synthia-v3.5,1,0.03,96.62,372,2,1,code completion; code generation
microsoft/unixcoder-base-unimodal,1,0.03,96.65,373,4,1,code completion; code representation; code search; code summarization
microsoft/unixcoder-base-nine,1,0.03,96.68,374,1,1,code generation
microsoft/phi-4-gguf,1,0.03,96.71,375,1,1,code generation
microsoft/phi-1_5,1,0.03,96.74,376,1,1,code generation
DavidAU/Qwen3-VL-12B-Thinking-Brainstorm20x,1,0.03,96.77,377,2,1,code generation; coding
microsoft/mpnet-base,1,0.03,96.8,378,1,1,code search
microsoft/graphcodebert-base,1,0.03,96.83,379,1,1,code completion
microsoft/codereviewer,1,0.03,96.86,380,1,1,code review
microsoft/Phi-4-mini-reasoning,1,0.03,96.89,381,1,1,coding
DavidAU/Qwen3-Yoyo-V4-42B-A3B-Thinking-TOTAL-RECALL-PKDick-V,1,0.03,96.92,382,2,1,code generation; coding
microsoft/Phi-3-small-8k-instruct,1,0.03,96.95,383,1,1,code generation
DavidAU/Qwen3-Yoyo-V4-42B-A3B-Thinking-TOTAL-RECALL-TNG-IV-PKDick-V,1,0.03,96.98,384,1,1,code generation
microsoft/OmniParser,1,0.03,97.01,385,1,1,cybersecurity
microsoft/MiniLM-L12-H384-uncased,1,0.03,97.04,386,2,1,code generation; code search
microsoft/DialoGPT-small,1,0.03,97.07,387,1,1,coding
Dream-org/Dream-Coder-v0-Instruct-7B,1,0.03,97.1,388,2,1,code generation; coding
microsoft/CodeGPT-small-java-adaptedGPT2,1,0.03,97.13,389,1,1,code understanding
michaelnath/dummy_code_to_code_model,1,0.03,97.16,390,1,1,code translation
mgoin/Nemotron-4-340B-Instruct-vllm,1,0.03,97.19,391,1,1,program synthesis
DavidAU/Qwen3-MOE-4x4B-16B-Jan-Polaris-Instruct-Power-House-V1.1,1,0.03,97.22,392,2,1,code generation; coding
mistralai/Ministral-3-8B-Base-2512,1,0.03,97.25,393,1,1,coding
mradermacher/Qwen3-53B-A3B-TOTAL-RECALL-MASTER-CODER-v1.4-128k-GGUF,1,0.03,97.28,394,1,1,code generation
mistralai/Ministral-8B-Instruct-2410,1,0.03,97.31,395,1,1,vulnerability detection
mradermacher/Qwen3-16B-QiMing-V1.0-Total-Recall-Light-i1-GGUF,1,0.03,97.34,396,2,1,code generation; coding
mradermacher/Qwen2.5-Wolverine-CODER-11B-i1-GGUF,1,0.03,97.37,397,2,1,code generation; coding
mradermacher/Qwen2.5-Wolverine-CODER-11B-V2-128k-ctx-i1-GGUF,1,0.03,97.4,398,2,1,code generation; coding
mradermacher/Qwen2.5-Godzilla-Coder-V2-51B-GGUF,1,0.03,97.43,399,1,1,code generation
mradermacher/Qwen2.5-8x7B-Vee-Eight-Coder-Instruct-53B-128k-ctx-i1-GGUF,1,0.03,97.46,400,2,1,code generation; coding
mradermacher/Qwen2.5-6x7B-Six-Pack-Coder-Instruct-42B-i1-GGUF,1,0.03,97.49,401,2,1,code generation; coding
DIvest1ng/LogBert,1,0.03,97.52,402,1,1,logging
mradermacher/Qwen2.5-3X7B-CoderInstruct-OlympicCoder-MS-Next-Coder-25B-v1-128k-ctx-i1-GGUF,1,0.03,97.55,403,2,1,code generation; coding
mradermacher/Qwen2.5-2X11B-CODER-Dueling-Wolverines-V2-28B-GGUF,1,0.03,97.58,404,2,1,code generation; coding
DavidAU/Qwen3-18B-QiMing-V1.0-Silence-Of-The-Qwen,1,0.03,97.61,405,2,1,code generation; coding
mradermacher/Llama3-8B-Instruct-Replete-Adapted-i1-GGUF,1,0.03,97.64,406,1,1,code translation
mradermacher/Almost-Human-X3-32bit-1839-6B-i1-GGUF,1,0.03,97.67,407,2,1,code generation; coding
DavidAU/Qwen3-32B-VL-Instruct-Polaris-HI16-Heretic-Uncensored,1,0.03,97.7,408,1,1,design pattern
moonshotai/Kimi-Linear-48B-A3B-Instruct,1,0.03,97.73,409,1,1,code generation
DavidAU/Qwen3-42B-A3B-2507-YOYO2-TOTAL-RECALL-Instruct,1,0.03,97.76,410,2,1,code generation; coding
DavidAU/Qwen3-4B-Apollo-V0.1-Thinking-heretic-Uncensored-Abliterated,1,0.03,97.79,411,2,2,code generation; debugging
mixedbread-ai/mxbai-rerank-large-v2,1,0.03,97.82,412,1,1,code search
mistralai/Pixtral-12B-Base-2409,1,0.03,97.85,413,1,1,code generation
DavidAU/Qwen3-54B-A3B-2507-YOYO2-TOTAL-RECALL-Instruct,1,0.03,97.88,414,2,1,code generation; coding
mistralai/Mistral-Small-24B-Base-2501,1,0.03,97.91,415,1,1,code generation
DavidAU/Qwen3-Grand-Horror-Light-1.7B,1,0.03,97.94,416,2,1,code generation; coding
nothingiisreal/L3.1-8B-Celeste-V1.5,1,0.03,97.97,417,2,1,code completion; code generation
openai-community/gpt2-large,1,0.03,98.0,418,1,1,code generation
nvidia/AceInstruct-72B,1,0.03,98.03,419,1,1,coding
trohrbaugh/Qwen3.5-122B-A10B-heretic,1,0.03,98.06,420,1,1,code generation
ArliAI/Llama-3.1-8B-ArliAI-RPMax-v1.3,1,0.03,98.09,421,2,1,code completion; code generation
uukuguy/speechless-llama2-hermes-orca-platypus-wizardlm-13b,1,0.03,98.12,422,2,1,code generation; coding
ura-hcmut/GemSUra-2B,1,0.03,98.15,423,1,1,code generation
Ayush-1722/Meta-Llama-3-8B-Instruct-Summarize-v0.2-24K-LoRANET-Merged,1,0.03,98.18,424,2,1,code completion; code generation
unslothai/gemma,1,0.03,98.21,425,1,1,code generation
Azazelle/Llama-3-8B-Abomination-LORA,1,0.03,98.24,426,2,1,code completion; code generation
unsloth/codegemma-2b-bnb-4bit,1,0.03,98.27,427,2,1,code completion; code generation
unsloth/Mistral-Nemo-Instruct-2407-bnb-4bit,1,0.03,98.3,428,1,1,information security
uclanlp/plbart-base,1,0.03,98.33,429,1,1,code translation
turboderp/llama3-turbcat-instruct-8b,1,0.03,98.36,430,2,1,code completion; code generation
trollek/NinjaMouse-3B-40L-danube,1,0.03,98.39,431,1,1,coding
trillionlabs/Tri-21B,1,0.03,98.42,432,1,1,code generation
uygarkurt/llama-3-merged-linear,1,0.03,98.45,433,2,1,code completion; code generation
tokyotech-llm/Qwen3-Swallow-8B-CPT-v0.2,1,0.03,98.48,434,1,1,code generation
tokyotech-llm/Gemma-2-Llama-Swallow-2b-it-v0.1,1,0.03,98.51,435,1,1,code generation
Azazelle/Llama-3-LongStory-LORA,1,0.03,98.54,436,2,1,code completion; code generation
tiiuae/falcon-7b-instruct,1,0.03,98.57,437,1,1,instruction generation
Azazelle/Llama3-RP-Lora,1,0.03,98.6,438,2,1,code completion; code generation
BAAI/Aquila-7B,1,0.03,98.63,439,1,1,code generation
theo77186/Llama-3-8B-Instruct-norefusal,1,0.03,98.66,440,2,1,code completion; code generation
thelamapi/next-70b,1,0.03,98.69,441,1,1,code generation
susnato/phi-1_5_dev,1,0.03,98.72,442,1,1,code completion
surya-narayanan/sociology,1,0.03,98.75,443,2,1,code completion; code generation
surya-narayanan/psychology,1,0.03,98.78,444,2,1,code completion; code generation
ArliAI/Llama-3.1-8B-ArliAI-RPMax-v1.1,1,0.03,98.81,445,2,1,code completion; code generation
vannynakamura/finetune_models_medicalAI,1,0.03,98.84,446,2,1,code completion; code generation
nvidia/AceInstruct-7B,1,0.03,98.87,447,1,1,coding
zai-org/GLM-4.5-Air-Base,1,0.03,98.9,448,1,1,code generation
zementalist/llama-3-8B-chat-psychotherapist,1,0.03,98.93,449,2,1,code completion; code generation
0xSero/MiniMax-M2.1-REAP-50,1,0.03,98.96,450,1,1,code generation
zai-org/chatglm2-6b,1,0.03,98.99,451,4,1,code generation; code summarization; code translation; coding
zai-org/LongCite-llama3.1-8b,1,0.03,99.02,452,2,1,code completion; code generation
5CD-AI/Viet-Sailor-4B-Instruct,1,0.03,99.05,453,1,1,sentiment analysis
Abdo36/MentalLORALLAMA3,1,0.03,99.08,454,2,1,code completion; code generation
zai-org/GLM-4.7-FP8,1,0.03,99.11,455,1,1,code generation
Alibaba-NLP/gte-Qwen2-1.5B-instruct,1,0.03,99.14,456,1,1,code search
Alibaba-NLP/gte-Qwen2-7B-instruct,1,0.03,99.17,457,1,1,code search
AlicanKiraz0/SenecaLLM-x-Llama3.1-8B,1,0.03,99.2,458,1,1,cybersecurity
zai-org/GLM-4.5-Air-FP8,1,0.03,99.23,459,1,1,code generation
ArliAI/Llama-3-8B-ArliAI-Formax-v1.0,1,0.03,99.26,460,2,1,code completion; code generation
vicgalle/Configurable-Llama-3-8B-v0.3,1,0.03,99.29,461,2,1,code completion; code generation
yulan-team/YuLan-Mini,1,0.03,99.32,462,2,2,code generation; logging
yanismiraoui/Yarn-Mistral-7b-128k-sharded,1,0.03,99.35,463,1,1,coding
xunge/VulBERTa,1,0.03,99.38,464,2,1,defect detection; vulnerability detection
ArliAI/Llama-3.1-8B-ArliAI-Formax-v1.0,1,0.03,99.41,465,2,1,code completion; code generation
wenge-research/yayi2-30b,1,0.03,99.44,466,1,1,code generation
w11wo/indonesian-roberta-base-sentiment-classifier,1,0.03,99.47,467,1,1,sentiment analysis
vngrs-ai/Kumru-2B-Base,1,0.03,99.5,468,1,1,code generation
vincentyandex/lora_llama3_chunked_novel_bs128,1,0.03,99.53,469,2,1,code completion; code generation
victunes/TherapyLlama-8B-v1,1,0.03,99.56,470,2,1,code completion; code generation
vicgalle/Roleplay-Hermes-3-Llama-3.1-8B,1,0.03,99.59,471,2,1,code completion; code generation
vicgalle/Humanish-Roleplay-Llama-3.1-8B,1,0.03,99.62,472,2,1,code completion; code generation
surya-narayanan/professional_psychology,1,0.03,99.65,473,2,1,code completion; code generation
surya-narayanan/professional_medicine,1,0.03,99.68,474,2,1,code completion; code generation
surya-narayanan/human_sexuality,1,0.03,99.71,475,2,1,code completion; code generation
ChaoticNeutrals/Hathor_RP-v.01-L3-8B,1,0.03,99.74,476,2,1,code completion; code generation
refactai/Refact-1_6-base,1,0.03,99.77,477,1,1,code completion
ByteDance-Seed/Seed-OSS-36B-Base,1,0.03,99.8,478,1,1,code generation
projecte-aina/aguila-7b,1,0.03,99.83,479,1,1,coding
prithivMLmods/Triangulum-10B-it,1,0.03,99.86,480,1,1,code generation
princeton-nlp/Llama-3-Instruct-8B-SimPO,1,0.03,99.89,481,2,1,code completion; code generation
prince-canuma/Llama-3-6B-v0,1,0.03,99.92,482,1,1,data analysis
prem-research/prem-1B-SQL,1,0.03,99.95,483,1,1,data analysis
ByteDance-Seed/Stable-DiffCoder-8B-Base,1,0.03,99.98,484,2,1,code editing; code generation
Chainbase-Labs/Theia-Llama-3.1-8B-v1,1,0.03,100.01,485,2,1,code generation; data analysis
ChaoticNeutrals/Domain-Fusion-L3-8B,1,0.03,100.04,486,2,1,code completion; code generation
pdelobelle/robbert-v2-dutch-ner,1,0.03,100.07,487,1,1,software requirement
openvoid/prox-7b-sft,1,0.03,100.1,488,1,1,cybersecurity
surya-narayanan/health,1,0.03,100.13,489,2,1,code completion; code generation
openlm-research/open_llama_7b_v2,1,0.03,100.16,490,1,1,code generation
ChaoticNeutrals/Poppy_Porpoise-1.0-L3-8B,1,0.03,100.19,491,2,1,code completion; code generation
ChaoticNeutrals/Poppy_Porpoise-1.4-L3-8B,1,0.03,100.22,492,2,1,code completion; code generation
openbmb/MiniCPM-Llama3-V-2_5,1,0.03,100.25,493,1,1,code generation
ChaoticNeutrals/T-900-8B,1,0.03,100.28,494,2,1,code completion; code generation
openai/clip-vit-base-patch32,1,0.03,100.31,495,1,1,code generation
EleutherAI/pythia-160m,1,0.03,100.34,496,2,1,code generation; code understanding
nvidia/Nemotron-Cascade-8B-Thinking,1,0.03,100.37,497,3,2,code generation; construction for security; verification
nvidia/NVIDIA-Nemotron-Nano-12B-v2-Base,1,0.03,100.4,498,2,1,code generation; data analysis
nvidia/Llama-3_3-Nemotron-Super-49B-v1_5,1,0.03,100.43,499,1,1,coding
nvidia/Llama-3.1-Minitron-4B-Width-Base,1,0.03,100.46,500,1,1,coding
Blackroot/Llama3-RP-Lora,1,0.03,100.49,501,2,1,code completion; code generation
refuelai/Llama-3-Refueled,1,0.03,100.52,502,2,1,code completion; code generation
Blackroot/Llama-3-LongStory-LORA,1,0.03,100.55,503,2,1,code completion; code generation
replit/replit-code-v1_5-3b,1,0.03,100.58,504,1,1,code completion
surya-narayanan/formal_logic,1,0.03,100.61,505,2,1,code completion; code generation
surya-narayanan/conceptual_physics,1,0.03,100.64,506,2,1,code completion; code generation
surya-narayanan/clinical_knowledge,1,0.03,100.67,507,2,1,code completion; code generation
surya-narayanan/biology,1,0.03,100.7,508,2,1,code completion; code generation
surya-narayanan/astronomy,1,0.03,100.73,509,2,1,code completion; code generation
surya-narayanan/anatomy,1,0.03,100.76,510,2,1,code completion; code generation
state-spaces/mamba-130m-hf,1,0.03,100.79,511,1,1,code generation
BAAI/bge-base-en-v1.5,1,0.03,100.82,512,2,1,software quality; verification
BAAI/bge-m3,1,0.03,100.85,513,1,1,sentiment analysis
soka0000/vclm-korean-7b,1,0.03,100.88,514,1,1,code generation
shadowlilac/aesthetic-shadow,1,0.03,100.91,515,1,1,quality assurance
sentence-transformers/roberta-base-nli-stsb-mean-tokens,1,0.03,100.94,516,1,1,data analysis
sentence-transformers/distiluse-base-multilingual-cased-v1,1,0.03,100.97,517,1,1,requirements analysis
sentence-transformers/bert-base-nli-mean-tokens,1,0.03,101.0,518,1,1,sentiment analysis
sentence-transformers/all-distilroberta-v1,1,0.03,101.03,519,1,1,data analysis
senseable/33x-coder,1,0.03,101.06,520,1,1,code generation
semcoder/semcoder_1030,1,0.03,101.09,521,3,1,code completion; code generation; coding
sapienzanlp/Minerva-7B-base-v1.0,1,0.03,101.12,522,1,1,data analysis
rvv-karma/BASH-Coder-Mistral-7B,1,0.03,101.15,523,1,1,coding
ruv/ruvltra-claude-code,1,0.03,101.18,524,1,1,code generation
ruliad/deepthought-8b-llama-v0.01-alpha,1,0.03,101.21,525,2,1,code completion; code generation
Blackroot/Llama-3-8B-Abomination-LORA,1,0.03,101.24,526,2,1,code completion; code generation
rohitnagareddy/AdbhutMOE,1,0.03,101.27,527,1,1,code generation
EleutherAI/pythia-14m,1,0.03,101.3,528,1,1,logging
Ultralytics/YOLOv8,1,0.03,101.33,529,1,1,defect detection
meta-llama/Meta-Llama-3-70B,1,0.03,101.36,530,2,1,code generation; data analysis
codeparrot/codeparrot-small,1,0.03,101.39,531,1,1,code generation
01-ai/Yi-9B,1,0.03,101.42,532,1,1,coding
ResplendentAI/Smarts_Llama3,1,0.03,101.45,533,2,1,code completion; code generation
RthItalia/PINDARO-AI-CODE,1,0.03,101.48,534,2,1,code generation; coding
Salesforce/codegen-16B-nl,1,0.03,101.51,535,2,1,code generation; program synthesis
Salesforce/codegen-350M-nl,1,0.03,101.54,536,2,1,code generation; program synthesis
Salesforce/codegen-6B-multi,1,0.03,101.57,537,2,1,code generation; program synthesis
crestf411/L3.1-8B-sunfall-v0.6.1-dpo,1,0.03,101.6,538,2,1,code completion; code generation
Salesforce/codegen2-16B_P,1,0.03,101.63,539,1,1,program synthesis
cortexso/mistral,1,0.03,101.66,540,3,2,code generation; code review; code understanding
cognitivecomputations/dolphin-2.2-70b,1,0.03,101.69,541,1,1,architectural design
codeparrot/codeparrot-small-multi,1,0.03,101.72,542,1,1,code generation
codeparrot/codeparrot,1,0.03,101.75,543,1,1,code generation
ResplendentAI/Luna_Llama3,1,0.03,101.78,544,2,1,code completion; code generation
Salesforce/codegen2-1B_P,1,0.03,101.81,545,1,1,program synthesis
Salesforce/codegen2-7B_P,1,0.03,101.84,546,1,1,program synthesis
Salesforce/codegen25-7b-mono_P,1,0.03,101.87,547,2,1,code generation; coding
codefuse-ai/CodeFuse-13B,1,0.03,101.9,548,1,1,code generation
cloudyu/Meta-Llama-3-8B-Instruct-DPO,1,0.03,101.93,549,2,1,code completion; code generation
chujiezheng/Llama-3-Instruct-8B-SimPO-ExPO,1,0.03,101.96,550,2,1,code completion; code generation
chujiezheng/LLaMA3-iterative-DPO-final-ExPO,1,0.03,101.99,551,2,1,code completion; code generation
chargoddard/prometheus-llama-3-8b-preference,1,0.03,102.02,552,2,1,code completion; code generation
chargoddard/prometheus-llama-3-8b-absolute,1,0.03,102.05,553,2,1,code completion; code generation
cgato/L3-TheSpice-8b-v0.8.3,1,0.03,102.08,554,2,1,code completion; code generation
bunnycore/Llama-3.2-3b-lora_model,1,0.03,102.11,555,1,1,code generation
ResplendentAI/Nymph_8B,1,0.03,102.14,556,2,1,code completion; code generation
ResplendentAI/Aura_Llama3,1,0.03,102.17,557,2,1,code completion; code generation
NousResearch/Llama-2-7b-hf,1,0.03,102.2,558,1,1,code generation
distilgpt2,1,0.03,102.23,559,1,1,code generation
eunyounglee/GPT-NeoX-1.3B-viet-final,1,0.03,102.26,560,1,1,code completion
elyza/ELYZA-japanese-Llama-2-7b-instruct,1,0.03,102.29,561,1,1,code generation
elyn-dev/Llama-3-Soliloquy-8B-v2,1,0.03,102.32,562,2,1,code completion; code generation
eggbiscuit/DeepSeek-R1-Distill-Qwen2.5-3B-Instruct-BS17K,1,0.03,102.35,563,1,1,coding
echos-keeper/Qwen3-ST-Deep-Space-Nine-v2-256k-ctx-6B-Q4_K_M-GGUF,1,0.03,102.38,564,2,1,code generation; coding
dreamgen-preview/opus-v1.2-llama-3-8b-instruct-run3.5-epoch2.5,1,0.03,102.41,565,1,1,code generation
dphn/dolphin-2.2-70b,1,0.03,102.44,566,1,1,architectural design
